Fecha sistema,Fecha (DD/MM/AAAA),Nombre del índice,Índice,Variación absoluta,Variación porcentual
08/09/2026 12:56:07,2008-10-06 00:00:00,Índice del mercado bursátil colombiano - COLCAP,921.9033,-44.2411,-4.5791
08/09/2026 12:56:07,2008-10-07 00:00:00,Índice del mercado bursátil colombiano - COLCAP,915.0459,-6.8574,-0.7438
08/09/2026 12:56:07,2008-10-08 00:00:00,Índice del mercado bursátil colombiano - COLCAP,888.0204,-27.0255,-2.9535
08/09/2026 12:56:07,2008-10-09 00:00:00,Índice del mercado bursátil colombiano - COLCAP,868.4242,-19.5962,-2.2067
08/09/2026 12:56:07,2008-10-10 00:00:00,Índice del mercado bursátil colombiano - COLCAP,794.2778,-74.1464,-8.538
08/09/2026 12:56:07,2008-10-14 00:00:00,Índice del mercado bursátil colombiano - COLCAP,866.7482,72.4704,9.1241
08/09/2026 12:56:07,2008-10-15 00:00:00,Índice del mercado bursátil colombiano - COLCAP,815.0675,-51.6807,-5.9626
08/09/2026 12:56:07,2008-10-16 00:00:00,Índice del mercado bursátil colombiano - COLCAP,782.8537,-32.2138,-3.9523
08/09/2026 12:56:07,2008-10-17 00:00:00,Índice del mercado bursátil colombiano - COLCAP,805.0023,22.1486,2.8292
08/09/2026 12:56:07,2008-10-20 00:00:00,Índice del mercado bursátil colombiano - COLCAP,811.1513,6.149,0.7638
08/09/2026 12:56:07,2008-10-21 00:00:00,Índice del mercado bursátil colombiano - COLCAP,808.0864,-3.0649,-0.3778
08/09/2026 12:56:07,2008-10-22 00:00:00,Índice del mercado bursátil colombiano - COLCAP,766.0325,-42.0539,-5.2041
08/09/2026 12:56:07,2008-10-23 00:00:00,Índice del mercado bursátil colombiano - COLCAP,739.7206,-26.3119,-3.4348
08/09/2026 12:56:07,2008-10-24 00:00:00,Índice del mercado bursátil colombiano - COLCAP,706.5826,-33.138,-4.4798
08/09/2026 12:56:07,2008-10-27 00:00:00,Índice del mercado bursátil colombiano - COLCAP,686.6453,-19.9373,-2.8217
08/09/2026 12:56:07,2008-10-28 00:00:00,Índice del mercado bursátil colombiano - COLCAP,714.5454,27.9001,4.0632
08/09/2026 12:56:07,2008-10-29 00:00:00,Índice del mercado bursátil colombiano - COLCAP,750.9199,36.3745,5.0906
08/09/2026 12:56:07,2008-10-30 00:00:00,Índice del mercado bursátil colombiano - COLCAP,778.1893,27.2694,3.6315
08/09/2026 12:56:07,2008-10-31 00:00:00,Índice del mercado bursátil colombiano - COLCAP,788.7302,10.5409,1.3545
08/09/2026 12:56:07,2008-11-04 00:00:00,Índice del mercado bursátil colombiano - COLCAP,803.1141,14.3839,1.8237
08/09/2026 12:56:07,2008-11-05 00:00:00,Índice del mercado bursátil colombiano - COLCAP,778.689,-24.4251,-3.0413
08/09/2026 12:56:07,2008-11-06 00:00:00,Índice del mercado bursátil colombiano - COLCAP,744.2679,-34.4211,-4.4204
08/09/2026 12:56:07,2008-11-07 00:00:00,Índice del mercado bursátil colombiano - COLCAP,774.5778,30.3099,4.0724
08/09/2026 12:56:07,2008-11-10 00:00:00,Índice del mercado bursátil colombiano - COLCAP,774.0747,-0.5031,-0.065
08/09/2026 12:56:07,2008-11-11 00:00:00,Índice del mercado bursátil colombiano - COLCAP,767.3361,-6.7386,-0.8705
08/09/2026 12:56:07,2008-11-12 00:00:00,Índice del mercado bursátil colombiano - COLCAP,754.7574,-12.5787,-1.6393
08/09/2026 12:56:07,2008-11-13 00:00:00,Índice del mercado bursátil colombiano - COLCAP,751.103,-3.6544,-0.4842
08/09/2026 12:56:07,2008-11-14 00:00:00,Índice del mercado bursátil colombiano - COLCAP,776.9391,25.8361,3.4398
08/09/2026 12:56:07,2008-11-18 00:00:00,Índice del mercado bursátil colombiano - COLCAP,758.9639,-17.9752,-2.3136
08/09/2026 12:56:07,2008-11-19 00:00:00,Índice del mercado bursátil colombiano - COLCAP,758.7424,-0.2215,-0.0292
08/09/2026 12:56:07,2008-11-20 00:00:00,Índice del mercado bursátil colombiano - COLCAP,751.7715,-6.9709,-0.9187
08/09/2026 12:56:07,2008-11-21 00:00:00,Índice del mercado bursátil colombiano - COLCAP,746.1408,-5.6307,-0.749
08/09/2026 12:56:07,2008-11-24 00:00:00,Índice del mercado bursátil colombiano - COLCAP,770.4929,24.3521,3.2637
08/09/2026 12:56:07,2008-11-25 00:00:00,Índice del mercado bursátil colombiano - COLCAP,774.5749,4.082,0.5298
08/09/2026 12:56:07,2008-11-26 00:00:00,Índice del mercado bursátil colombiano - COLCAP,791.397,16.8221,2.1718
08/09/2026 12:56:07,2008-11-27 00:00:00,Índice del mercado bursátil colombiano - COLCAP,803.8587,12.4617,1.5746
